Numéro du conseil|Nom du conseil|Numéro de l’école|Nom de l’école|Niveau de l’école|Type d’école|Langue de l’école|Effectif
B28010|Algoma DSB|902344|Algoma Education Connection SS|Secondaire|Publique|Anglais|272
B28010|Algoma DSB|019186|Anna McCrea PS|Élémentaire|Publique|Anglais|171
B28010|Algoma DSB|067679|Arthur Henderson PS|Élémentaire|Publique|Anglais|92
B28010|Algoma DSB|043362|Ben R McMullin PS|Élémentaire|Publique|Anglais|203
B28010|Algoma DSB|054542|Blind River PS|Élémentaire|Publique|Anglais|201
B28010|Algoma DSB|285552|Central Algoma E S|Élémentaire|Publique|Anglais|94
B28010|Algoma DSB|137967|Central Algoma Intermed S|Élémentaire|Publique|Anglais|168
B28010|Algoma DSB|891347|Central Algoma SS|Secondaire|Publique|Anglais|320
B28010|Algoma DSB|093548|Central Avenue PS|Élémentaire|Publique|Anglais|197
B28010|Algoma DSB|900869|Chapleau HS|Secondaire|Publique|Anglais|75
B28010|Algoma DSB|101214|Chapleau PS|Élémentaire|Publique|Anglais|107
B28010|Algoma DSB|161276|East View PS|Élémentaire|Publique|Anglais|323
B28010|Algoma DSB|165042|Echo Bay Central PS|Élémentaire|Publique|Anglais|168
B28010|Algoma DSB|908010|Elliot Lake SS|Secondaire|Publique|Anglais|349
B28010|Algoma DSB|186783|Esten Park PS|Élémentaire|Publique|Anglais|144
B28010|Algoma DSB|202614|Francis H Clergue PS|Élémentaire|Publique|Anglais|637
B28010|Algoma DSB|227331|Grand View PS|Élémentaire|Publique|Anglais|237
B28010|Algoma DSB|230561|Greenwood PS|Élémentaire|Publique|Anglais|200
B28010|Algoma DSB|237191|H M Robbins PS|Élémentaire|Publique|Anglais|201
B28010|Algoma DSB|917370|Hornepayne HS|Secondaire|Publique|Anglais|63
B28010|Algoma DSB|264750|Hornepayne PS|Élémentaire|Publique|Anglais|53
B28010|Algoma DSB|278270|Isabel Fletcher PS|Élémentaire|Publique|Anglais|172
B28010|Algoma DSB|302350|Kiwedin PS|Élémentaire|Publique|Anglais|126
B28010|Algoma DSB|920533|Korah C & VS|Secondaire|Publique|Anglais|807
B28010|Algoma DSB|018309|Korah Intermediate (Elem)|Élémentaire|Publique|Anglais|70
B28010|Algoma DSB|926086|Michipicoten HS|Secondaire|Publique|Anglais|115
B28010|Algoma DSB|368490|Missarenda Consolidated PS|Élémentaire|Publique|Anglais|<10
B28010|Algoma DSB|195200|Mountain View PS|Élémentaire|Publique|Anglais|198
B28010|Algoma DSB|891150|North Shore Adolescent Education S|Secondaire|Publique|Anglais|18
B28010|Algoma DSB|410870|Northern Heights PS|Élémentaire|Publique|Anglais|200
B28010|Algoma DSB|434922|Parkland PS|Élémentaire|Publique|Anglais|211
B28010|Algoma DSB|442054|Pinewood PS|Élémentaire|Publique|Anglais|224
B28010|Algoma DSB|462616|Queen Elizabeth PS|Élémentaire|Publique|Anglais|231
B28010|Algoma DSB|468339|R M Moore PS|Élémentaire|Publique|Anglais|250
B28010|Algoma DSB|485497|River View PS|Élémentaire|Publique|Anglais|165
B28010|Algoma DSB|677523|Rockhaven School for Exceptional|Élémentaire|Publique|Anglais|27
B28010|Algoma DSB|490822|Rosedale PS|Élémentaire|Publique|Anglais|381
B28010|Algoma DSB|515396|Sir James Dunn PS|Élémentaire|Publique|Anglais|140
B28010|Algoma DSB|530603|St Joseph Island Central PS|Élémentaire|Publique|Anglais|99
B28010|Algoma DSB|958050|Superior Heights C & VS|Secondaire|Publique|Anglais|883
B28010|Algoma DSB|672610|Superior Heights Community Education|Élémentaire|Publique|Anglais|32
B28010|Algoma DSB|106913|Superior Heights Intermediate E S|Élémentaire|Publique|Anglais|105
B28010|Algoma DSB|548413|Tarentorus PS|Élémentaire|Publique|Anglais|223
B28010|Algoma DSB|551660|Thessalon PS|Élémentaire|Publique|Anglais|176
B28010|Algoma DSB|895270|W C Eaket SS|Secondaire|Publique|Anglais|174
B28010|Algoma DSB|953148|White Pines C & VS|Secondaire|Publique|Anglais|514
B28010|Algoma DSB|144872|White Pines Intermediate Sr E S|Élémentaire|Publique|Anglais|51
B28010|Algoma DSB|616400|Wm Merrifield VC PS|Élémentaire|Publique|Anglais|129
B67202|Algonquin and Lakeshore CDSB|765031|Archbishop O'Sullivan Catholic S|Élémentaire|Catholique|Anglais|251
B67202|Algonquin and Lakeshore CDSB|827681|Cathedrale Catholic S|Élémentaire|Catholique|Anglais|265
B67202|Algonquin and Lakeshore CDSB|708011|Georges Vanier Catholic S|Élémentaire|Catholique|Anglais|332
B67202|Algonquin and Lakeshore CDSB|715298|Holy Cross Catholic SS|Secondaire|Catholique|Anglais|1060
B67202|Algonquin and Lakeshore CDSB|716669|Holy Family Catholic S|Élémentaire|Catholique|Anglais|232
B67202|Algonquin and Lakeshore CDSB|717703|Holy Name Catholic S|Élémentaire|Catholique|Anglais|134
B67202|Algonquin and Lakeshore CDSB|865257|Holy Name of Mary Catholic S|Élémentaire|Catholique|Anglais|98
B67202|Algonquin and Lakeshore CDSB|719919|Holy Rosary Catholic S|Élémentaire|Catholique|Anglais|206
B67202|Algonquin and Lakeshore CDSB|735523|J J O'Neill Catholic S|Élémentaire|Catholique|Anglais|290
B67202|Algonquin and Lakeshore CDSB|724068|John XXIII Catholic S|Élémentaire|Catholique|Anglais|242
B67202|Algonquin and Lakeshore CDSB|728420|Loyola Community Learning Centre|Secondaire|Catholique|Anglais|341
B67202|Algonquin and Lakeshore CDSB|773875|Mother Teresa Catholic S|Élémentaire|Catholique|Anglais|312
B67202|Algonquin and Lakeshore CDSB|835099|Nicholson Catholic College|Secondaire|Catholique|Anglais|502
B67202|Algonquin and Lakeshore CDSB|742279|Our Lady of Fatima Catholic S|Élémentaire|Catholique|Anglais|178
B67202|Algonquin and Lakeshore CDSB|746568|Our Lady of Lourdes Catholic S|Élémentaire|Catholique|Anglais|298
B67202|Algonquin and Lakeshore CDSB|746690|Our Lady of Mercy Catholic S|Élémentaire|Catholique|Anglais|172
B67202|Algonquin and Lakeshore CDSB|706264|Our Lady of Mount Carmel Catholic S|Élémentaire|Catholique|Anglais|442
B67202|Algonquin and Lakeshore CDSB|752932|Regiopolis/Notre-Dame Catholic HS|Secondaire|Catholique|Anglais|1039
B67202|Algonquin and Lakeshore CDSB|756830|Sacred Heart Catholic S|Élémentaire|Catholique|Anglais|160
B67202|Algonquin and Lakeshore CDSB|764370|Sacred Heart Catholic S|Élémentaire|Catholique|Anglais|127
B67202|Algonquin and Lakeshore CDSB|868370|Sacred Heart Catholic S|Élémentaire|Catholique|Anglais|62
