Board Number|Board Name|School Number|School Name|School Level|School Type|School Language|Enrolment
B28010|Algoma DSB|902344|Algoma Education Connection SS|Secondary|Public|English|231
B28010|Algoma DSB|019186|Anna McCrea PS|Elementary|Public|English|169
B28010|Algoma DSB|067679|Arthur Henderson PS|Elementary|Public|English|60
B28010|Algoma DSB|043362|Ben R McMullin PS|Elementary|Public|English|172
B28010|Algoma DSB|054542|Blind River PS|Elementary|Public|English|172
B28010|Algoma DSB|285552|Central Algoma E S|Elementary|Public|English|119
B28010|Algoma DSB|137967|Central Algoma Intermed S|Elementary|Public|English|166
B28010|Algoma DSB|891347|Central Algoma SS|Secondary|Public|English|312
B28010|Algoma DSB|093548|Central Avenue PS|Elementary|Public|English|227
B28010|Algoma DSB|900869|Chapleau HS|Secondary|Public|English|69
B28010|Algoma DSB|101214|Chapleau PS|Elementary|Public|English|100
B28010|Algoma DSB|161276|East View PS|Elementary|Public|English|297
B28010|Algoma DSB|165042|Echo Bay Central PS|Elementary|Public|English|189
B28010|Algoma DSB|908010|Elliot Lake SS|Secondary|Public|English|308
B28010|Algoma DSB|186783|Esten Park PS|Elementary|Public|English|122
B28010|Algoma DSB|202614|Francis H Clergue PS|Elementary|Public|English|695
B28010|Algoma DSB|227331|Grand View PS|Elementary|Public|English|251
B28010|Algoma DSB|230561|Greenwood PS|Elementary|Public|English|193
B28010|Algoma DSB|237191|H M Robbins PS|Elementary|Public|English|244
B28010|Algoma DSB|917370|Hornepayne HS|Secondary|Public|English|57
B28010|Algoma DSB|264750|Hornepayne PS|Elementary|Public|English|47
B28010|Algoma DSB|278270|Isabel Fletcher PS|Elementary|Public|English|195
B28010|Algoma DSB|302350|Kiwedin PS|Elementary|Public|English|154
B28010|Algoma DSB|920533|Korah C & VS|Secondary|Public|English|749
B28010|Algoma DSB|018309|Korah Intermediate (Elem)|Elementary|Public|English|97
B28010|Algoma DSB|926086|Michipicoten HS|Secondary|Public|English|98
B28010|Algoma DSB|368490|Missarenda Consolidated PS|Elementary|Public|English|<10
B28010|Algoma DSB|195200|Mountain View PS|Elementary|Public|English|187
B28010|Algoma DSB|891150|North Shore Adolescent Education S|Secondary|Public|English|16
B28010|Algoma DSB|410870|Northern Heights PS|Elementary|Public|English|215
B28010|Algoma DSB|434922|Parkland PS|Elementary|Public|English|186
B28010|Algoma DSB|442054|Pinewood PS|Elementary|Public|English|231
B28010|Algoma DSB|462616|Queen Elizabeth PS|Elementary|Public|English|245
